#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BMP7	ACVR1	1858342	1845380	9606.ENSP00000379204	9606.ENSP00000263640	0	0	0	0	0	0.684	0.900	0.977	0.999
INHBA	ACVR2A	1843613	1843596	9606.ENSP00000242208	9606.ENSP00000241416	0	0	0	0	0	0.982	0.900	0.700	0.999
SMAD9	ACVR1	1857104	1845380	9606.ENSP00000369154	9606.ENSP00000263640	0	0	0	0	0	0.667	0.900	0.982	0.999
SMAD5	ACVR1	1862200	1845380	9606.ENSP00000441954	9606.ENSP00000263640	0	0	0	0	0	0.932	0.900	0.922	0.999
BMP2	ACVR2A	1856935	1843596	9606.ENSP00000368104	9606.ENSP00000241416	0	0	0	0	0	0.564	0.900	0.958	0.998
FKBP1A	ACVR1	1857423	1845380	9606.ENSP00000371138	9606.ENSP00000263640	0	0	0	0	0	0.900	0.900	0.859	0.998
SMAD1	ACVR1	1848770	1845380	9606.ENSP00000305769	9606.ENSP00000263640	0	0	0	0	0	0.932	0.900	0.815	0.998
SMAD5	BMP7	1862200	1858342	9606.ENSP00000441954	9606.ENSP00000379204	0	0	0	0	0	0.119	0.900	0.980	0.998
SMAD5	BMP2	1862200	1856935	9606.ENSP00000441954	9606.ENSP00000368104	0	0	0	0	0	0.428	0.900	0.982	0.998
BMP7	ACVR2A	1858342	1843596	9606.ENSP00000379204	9606.ENSP00000241416	0	0	0	0	0	0.807	0.800	0.955	0.998
SMAD5	BMP4	1862200	1843758	9606.ENSP00000441954	9606.ENSP00000245451	0	0	0	0	0	0.428	0.900	0.941	0.996
ACVR1	SMAD2	1845380	1845079	9606.ENSP00000263640	9606.ENSP00000262160	0	0	0	0	0	0.248	0.800	0.978	0.996
SMAD9	BMP4	1857104	1843758	9606.ENSP00000369154	9606.ENSP00000245451	0	0	0	0	0	0.428	0.900	0.907	0.994
BMP2	ACVR1	1856935	1845380	9606.ENSP00000368104	9606.ENSP00000263640	0	0	0	0	0	0.701	0.800	0.900	0.993
SMAD2	ACVR2A	1845079	1843596	9606.ENSP00000262160	9606.ENSP00000241416	0	0	0	0	0.131	0	0.900	0.924	0.992
SMAD9	BMP2	1857104	1856935	9606.ENSP00000369154	9606.ENSP00000368104	0	0	0	0	0	0.428	0.900	0.886	0.992
ACVR1	INHBA	1845380	1843613	9606.ENSP00000263640	9606.ENSP00000242208	0	0	0	0	0	0.829	0.900	0.524	0.991
BMP7	SMAD1	1858342	1848770	9606.ENSP00000379204	9606.ENSP00000305769	0	0	0	0	0	0.601	0.900	0.776	0.990
ACVR1	ACVR2A	1845380	1843596	9606.ENSP00000263640	9606.ENSP00000241416	0	0	0	0.788	0.093	0.863	0.900	0.982	0.989
SMAD5	ACVR2A	1862200	1843596	9606.ENSP00000441954	9606.ENSP00000241416	0	0	0	0	0.131	0	0.900	0.890	0.989
BMP2	SMAD1	1856935	1848770	9606.ENSP00000368104	9606.ENSP00000305769	0	0	0	0	0	0.428	0.900	0.831	0.989
ACVR1	BMP4	1845380	1843758	9606.ENSP00000263640	9606.ENSP00000245451	0	0	0	0	0	0.339	0	0.983	0.988
SMAD2	BMP4	1845079	1843758	9606.ENSP00000262160	9606.ENSP00000245451	0	0	0	0	0	0.428	0	0.981	0.988
SMAD1	BMP4	1848770	1843758	9606.ENSP00000305769	9606.ENSP00000245451	0	0	0	0	0	0.428	0.900	0.802	0.987
BMP7	SMAD9	1858342	1857104	9606.ENSP00000379204	9606.ENSP00000369154	0	0	0	0	0	0.119	0.900	0.868	0.987
SMAD9	ACVR2A	1857104	1843596	9606.ENSP00000369154	9606.ENSP00000241416	0	0	0	0	0.131	0	0.900	0.869	0.987
BMP2	SMAD2	1856935	1845079	9606.ENSP00000368104	9606.ENSP00000262160	0	0	0	0	0	0.428	0	0.974	0.984
SMAD1	ACVR2A	1848770	1843596	9606.ENSP00000305769	9606.ENSP00000241416	0	0	0	0	0.131	0	0.900	0.800	0.981
BMP7	BMP4	1858342	1843758	9606.ENSP00000379204	9606.ENSP00000245451	0	0	0	0.804	0	0.636	0.900	0.994	0.969
BMP7	BMP2	1858342	1856935	9606.ENSP00000379204	9606.ENSP00000368104	0	0	0	0.811	0	0.636	0.900	0.967	0.968
SMAD1	SMAD2	1848770	1845079	9606.ENSP00000305769	9606.ENSP00000262160	0	0	0	0.959	0	0.707	0.800	0.830	0.941
FKBP1A	SMAD2	1857423	1845079	9606.ENSP00000371138	9606.ENSP00000262160	0	0	0	0	0	0	0.900	0.433	0.940
SMAD5	SMAD1	1862200	1848770	9606.ENSP00000441954	9606.ENSP00000305769	0	0	0	0.987	0	0.192	0.900	0.511	0.916
BMP7	FKBP1A	1858342	1857423	9606.ENSP00000379204	9606.ENSP00000371138	0	0	0	0	0	0	0.900	0.169	0.913
FKBP1A	ACVR2A	1857423	1843596	9606.ENSP00000371138	9606.ENSP00000241416	0	0	0	0	0	0	0.900	0.159	0.912
BMP2	BMP4	1856935	1843758	9606.ENSP00000368104	9606.ENSP00000245451	0	0	0	0.968	0	0	0.900	0.973	0.903
SMAD5	SMAD9	1862200	1857104	9606.ENSP00000441954	9606.ENSP00000369154	0	0	0	0.982	0	0	0.900	0.879	0.901
FKBP1A	INHBA	1857423	1843613	9606.ENSP00000371138	9606.ENSP00000242208	0	0	0	0	0	0	0.900	0	0.900
SMAD9	SMAD1	1857104	1848770	9606.ENSP00000369154	9606.ENSP00000305769	0	0	0	0.983	0	0	0.900	0.440	0.900
BMP7	SMAD2	1858342	1845079	9606.ENSP00000379204	9606.ENSP00000262160	0	0	0	0	0	0.119	0	0.851	0.863
BMP4	ACVR2A	1843758	1843596	9606.ENSP00000245451	9606.ENSP00000241416	0	0	0	0	0	0	0	0.819	0.819
SMAD2	INHBA	1845079	1843613	9606.ENSP00000262160	9606.ENSP00000242208	0	0	0	0	0	0.119	0	0.491	0.533
